id,titulo,empresa,localidade,estado,modalidade,nivel,salario_min,salario_max,descricao,salario_medio,titulo_normalizado,descricao_normalizada,skills,qtd_skills
1,Estagio em Data Analytics,TechNova,Sao Paulo,SP,Hibrido,Estagio,1200,1800,Apoiar analises de dados usando Excel SQL Power BI e Python. Criar dashboards e acompanhar indicadores de negocio.,1500.0,estagio em data analytics,apoiar analises de dados usando excel sql power bi e python. criar dashboards e acompanhar indicadores de negocio.,"['SQL', 'Python', 'Power BI', 'Excel']",4
2,Estagiario de BI,LojaMais,Curitiba,PR,Presencial,Estagio,1000,1500,"Auxiliar na construcao de relatorios em Power BI, consultas SQL e organizacao de planilhas Excel.",1250.0,estagiario de bi,"auxiliar na construcao de relatorios em power bi, consultas sql e organizacao de planilhas excel.","['SQL', 'Power BI', 'Excel', 'Google Sheets']",4
3,Analista de Dados Junior,FinData,Rio de Janeiro,RJ,Hibrido,Junior,2800,3800,"Realizar EDA com Python Pandas, criar consultas SQL e apoiar times de produto com dashboards.",3300.0,analista de dados junior,"realizar eda com python pandas, criar consultas sql e apoiar times de produto com dashboards.","['SQL', 'Python', 'Pandas']",3
4,Estagio em Dados,HealthCore,Belo Horizonte,MG,Remoto,Estagio,1300,2000,"Trabalhar com limpeza de dados, Excel, Google Sheets, SQL basico e visualizacoes em Looker Studio.",1650.0,estagio em dados,"trabalhar com limpeza de dados, excel, google sheets, sql basico e visualizacoes em looker studio.","['SQL', 'Excel', 'Google Sheets', 'Looker Studio']",4
5,Assistente de Dados,AgroView,Ribeirao Preto,SP,Presencial,Entrada,1900,2500,"Organizar bases comerciais, tratar arquivos CSV, construir metricas em Excel e apoiar relatorios semanais.",2200.0,assistente de dados,"organizar bases comerciais, tratar arquivos csv, construir metricas em excel e apoiar relatorios semanais.",['Excel'],1
6,Analista BI Junior,MarketHub,Sao Paulo,SP,Hibrido,Junior,3000,4200,"Desenvolver dashboards em Power BI, modelagem simples, DAX, SQL e acompanhamento de KPIs.",3600.0,analista bi junior,"desenvolver dashboards em power bi, modelagem simples, dax, sql e acompanhamento de kpis.","['SQL', 'Power BI', 'DAX']",3
7,Estagiario Analytics,AppFlow,Florianopolis,SC,Remoto,Estagio,1400,2200,"Apoiar analises exploratorias com Python, Pandas e SQL. Gerar insights para marketing e produto.",1800.0,estagiario analytics,"apoiar analises exploratorias com python, pandas e sql. gerar insights para marketing e produto.","['SQL', 'Python', 'Pandas']",3
8,Data Analyst Intern,CloudBridge,Campinas,SP,Hibrido,Estagio,1500,2300,"Criar pipelines simples em Python, consultar banco PostgreSQL e manter paineis de Power BI.",1900.0,data analyst intern,"criar pipelines simples em python, consultar banco postgresql e manter paineis de power bi.","['SQL', 'Python', 'Power BI']",3
9,Analista de Dados Junior,PayLoop,Porto Alegre,RS,Remoto,Junior,3200,4500,"Analisar comportamento de clientes usando SQL, Python, estatistica descritiva e dashboards.",3850.0,analista de dados junior,"analisar comportamento de clientes usando sql, python, estatistica descritiva e dashboards.","['SQL', 'Python', 'Estatistica']",3
10,Estagio em Business Intelligence,EduNext,Recife,PE,Presencial,Estagio,1100,1600,"Construir relatorios, apoiar area comercial, usar Excel avancado, Power BI e SQL.",1350.0,estagio em business intelligence,"construir relatorios, apoiar area comercial, usar excel avancado, power bi e sql.","['SQL', 'Power BI', 'Excel']",3
11,Assistente de BI,Foodly,Goiania,GO,Hibrido,Entrada,2100,2800,"Atualizar dashboards, tratar dados de vendas, criar consultas SQL e acompanhar indicadores.",2450.0,assistente de bi,"atualizar dashboards, tratar dados de vendas, criar consultas sql e acompanhar indicadores.",['SQL'],1
